word,st_strings,count
amidmost,"moiasdmt,mtsdiamo",2
amidones,"iasdnemo,iamonesd,iamonesd,moiasdne,moianesd,moianesd,monesdia,monesdia,moneiasd,nesdiamo,nesdiamo,nemoiasd,sdnemoia,sdneiamo,sdianemo,sdiamone",16
animator,"artnmoia,iamoartn,iamotnar,tnarmoia",4
antinome,"ianemotn,neiamotn,tnmoiane,tnmoneia",4
codeinas,"conesdia,conesdia,coneiasd,iasdneco,sdianeco",5
coenamor,"armoneco,conemoar",2
condemns,"conesdmn,conesdmn,mnsdneco,nmconesd,nmconesd,sdneconm",6
contused,"sdnecout,utconesd,utconesd",3
daimones,"iasdnemo,iamonesd,iamonesd,moiasdne,moianesd,moianesd,monesdia,monesdia,moneiasd,nesdiamo,nesdiamo,nemoiasd,sdnemoia,sdneiamo,sdianemo,sdiamone",16
diamonds,"moiasdnd,ndsdiamo",2
diaphone,inohpade,1
diocesan,"conesdia,conesdia,coneiasd,iasdneco,sdianeco",5
dioramas,"armoiasd,sdiamoar",2
donatism,"sdiamotn,tnmoiasd",2
eduction,"idutcone,necoutid",2
flagrant,"artngafl,flgatnar",2
galavant,"algatnva,gaaltnva,vatnalga,vatngaal",4
limation,"iailmotn,iliamotn,tnmoiail,tnmoilia",4
madrones,"armonesd,armonesd,sdnemoar",3
magneton,"gatnmone,nemotnga",2
makimono,"iamooknm,mniamook,nmokmoia,okmoiamn",4
martagon,"armotnga,gatnmoar,gatnarmo,moartnga",4
matronal,"altnmoar,altnarmo,armotnal,laarmotn,laartnmo,moartnal,motnarla,tnmoarla",8
mediants,"ianesdmt,ianesdmt,mtsdneia,mtsdiane,neiasdmt",5
miltonia,"iailmotn,iliamotn,tnmoiail,tnmoilia",4
moleskin,"ilmoksne,ksnemoil",2
monadism,"mnsdiamo,moiamnsd,moiasdmn,sdmniamo",4
monecian,"coneiamn,ianeconm,mnianeco,nmconeia",4
monomark,"armooknm,moaroknm,nmokarmo,nmokmoar",4
montaria,"artnmoia,iamoartn,iamotnar,tnarmoia",4
moralism,"ilmoarms,msarmoil",2
nomadies,"iasdnemo,iamonesd,iamonesd,moiasdne,moianesd,moianesd,monesdia,monesdia,moneiasd,nesdiamo,nesdiamo,nemoiasd,sdnemoia,sdneiamo,sdianemo,sdiamone",16
nomadise,"iasdnemo,iamonesd,iamonesd,moiasdne,moianesd,moianesd,monesdia,monesdia,moneiasd,nesdiamo,nesdiamo,nemoiasd,sdnemoia,sdneiamo,sdianemo,sdiamone",16
nomadism,"mnsdiamo,moiamnsd,moiasdmn,sdmniamo",4
nominate,"ianemotn,neiamotn,tnmoiane,tnmoneia",4
nonmetal,"altnmone,nemotnal",2
oceanids,"conesdia,conesdia,coneiasd,iasdneco,sdianeco",5
oomiacks,"coksmoia,iamoksco",2
ornament,"artnmone,nemoartn,nemotnar,tnarmone",4
ransomed,"armonesd,armonesd,sdnemoar",3
roadsmen,"armonesd,armonesd,sdnemoar",3
saintdom,"sdiamotn,tnmoiasd",2
stallman,"altnmsla,lamstnal,lamsaltn,tnalmsla",4
takingly,"gatnkyil,ilkytnga",2
tamanoir,"artnmoia,iamoartn,iamotnar,tnarmoia",4
tangrams,"armstnga,gatnarms,gatnmsar,msartnga",4
tidesman,"ianesdmt,ianesdmt,mtsdneia,mtsdiane,neiasdmt",5
torminal,"artnmoil,ilmoartn,ilmotnar,tnarmoil",4
trangams,"armstnga,gatnarms,gatnmsar,msartnga",4
unsocket,"ksnecout,utcoksne",2
